"","order","family","species","common_name","Neritic_Oceanic","Bentho_Pelagic","feeding_strategy","trophic_level","IUCN","fisheries_interest","G.GI","method","N","n_fish_ingested","FO","binary"
"167","Perciformes","Kyphosidae","Girella tricuspidata","Parore","N","BP","G",2.1,"NE","y","GI","3","20","14",70,1
"168","Perciformes","Kyphosidae","Graus nigra","n/a","N",NA,"BP",3.4,"NE","Y","GI","3","8","8",100,1
"169","Perciformes","Kyphosidae","Kyphosus sydneyanus","Silver drummer","N","B","G",2,"NE","Y","GI","1","10","0",0,0
"170","Perciformes","Labridae","Coris aygula","Clown coris","N",NA,"BP",3.7,"LC","Y","GI","1","1","0",0,0
"171","Perciformes","Labridae","Notolabrus tetricus","Blue-throated wrasse","N",NA,"BP",3.6,"LC","Y","G, GI","2","7","0",0,0
"172","Perciformes","Labridae","Oxycheilinus unifasciatus","Ringtail maori wrasse","N","BP","BP",4.1,"LC","Y","GI","1","1","0",0,0
"173","Perciformes","Labridae","Thalassoma purpureum","Surge wrasse","N",NA,"BP",3.8,"LC","Y","GI","1","2","1",50,1
"174","Perciformes","Labridae","Thalassoma rueppellii","Klunzinger's wrasse","N",NA,"BP",3.5,"LC","Y","GI","3","12","1",8.33,1
"175","Perciformes","Labridae","Thalassoma trilobatum","Christmas wrasse","N",NA,"BP",3.8,"LC","Y","GI","1","4","1",25,1
"176","Perciformes","Labrisomidae","Auchenionchus microcirrhis","n/a","N",NA,"BP",3.7,"LC","N","GI","3","16","16",100,1
"177","Perciformes","Lateolabracidae","Lateolabrax japonicus","Japanese seabass","N","BP","P",3.4,"NE","Y","GI","3","18","18",100,1
"178","Perciformes","Latidae","Lates calcarifer","Barramundi","N",NA,"BP",3.8,"NE","Y","GI","3","2","2",100,1
"179","Perciformes","Leiognathidae","Photopectoralis bindus","Orangefin ponyfish","N",NA,"O",2.9,"NE","y","GI","3","18","18",100,1
"180","Perciformes","Lethrinidae","Gnathodentex aurolineatus","Striped large-eye bream","N",NA,"BP",3.7,"NE","Y","GI","3","29","2",6.9,1
"181","Perciformes","Lethrinidae","Gymnocranius grandoculis","Blue-lined large-eye bream","N",NA,"BP",3.8,"LC","N","GI ","3","10","2",20,1
"182","Perciformes","Lethrinidae","Lethrinus amboinensis","Ambon emperor","N",NA,"BP",4,"NE","Y","GI","3","26","6",23.08,1
